ranking,palabra,frecuencia_absoluta,frecuencia_normalizada
673,plaza,19792,129.73
674,pie,19780,129.65
675,trabajadores,19723,129.28
676,poner,19722,129.27
677,existen,19634,128.69
678,viene,19630,128.67
679,permite,19607,128.52
680,análisis,19554,128.17
681,argentina,19553,128.16
682,acto,19520,127.95
683,hechos,19465,127.59
684,tiempos,19394,127.12
685,políticas,19285,126.41
686,radio,19271,126.31
687,puedo,19230,126.05
688,crecimiento,19202,125.86
689,francia,19193,125.8
690,compañía,19178,125.7
691,amigo,19176,125.69
692,autoridades,19175,125.68
693,realizar,19166,125.63
694,acciones,19075,125.03
695,padres,19075,125.03
696,diario,19064,124.96
697,ve,19059,124.92
698,derecha,19049,124.86
699,ambiente,19000,124.54
700,i,18980,124.41
701,habrá,18951,124.22
702,precisamente,18930,124.08
703,enfermedad,18927,124.06
704,especie,18903,123.9
705,ejército,18900,123.88
706,santa,18890,123.82
707,cambios,18886,123.79
708,río,18885,123.78
709,sabía,18873,123.71
710,seguro,18856,123.59
711,espera,18850,123.55
712,momentos,18847,123.53
713,viaje,18834,123.45
714,quería,18827,123.4
715,ocho,18818,123.34
716,vivir,18817,123.34
717,región,18771,123.04
718,formación,18743,122.85
719,escuela,18722,122.72
720,cuarto,18721,122.71
721,valores,18677,122.42
722,quedó,18674,122.4
723,participación,18598,121.9
724,éxito,18595,121.88
725,baja,18542,121.54
726,artículo,18504,121.29
727,principales,18490,121.19
728,fernando,18468,121.05
729,metros,18468,121.05
730,marcha,18427,120.78
731,régimen,18382,120.49
732,consecuencia,18358,120.33
733,conocimiento,18346,120.25
734,corazón,18331,120.15
735,campaña,18261,119.69
736,estructura,18261,119.69
737,efectos,18253,119.64
738,finalmente,18231,119.5
739,modelo,18221,119.43
740,carta,18218,119.41
741,construcción,18098,118.63
742,médico,18083,118.53
743,miedo,18049,118.3
744,mayores,17976,117.83
745,entrada,17955,117.69
746,humanos,17917,117.44
747,sean,17892,117.27
748,actitud,17843,116.95
749,deja,17838,116.92
750,dejó,17827,116.85
751,d,17810,116.74
752,llevar,17798,116.66
753,negro,17774,116.5
754,texto,17714,116.11
755,mitad,17705,116.05
756,estuvo,17681,115.89
757,alrededor,17639,115.62
758,acerca,17598,115.35
759,peso,17589,115.29
760,humano,17581,115.24
761,pequeño,17577,115.21
762,fecha,17551,115.04
763,serán,17529,114.9
764,doctor,17526,114.88
765,ideas,17495,114.67
766,vino,17491,114.65
